Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
drones_instance-24_network_2_deadline_13_corrsize_4,drones,24,3,1,2,13,3,8.914936270679682,0.055132175754342184,0.899,40,0.9925,0.9948,0.9948,0.9931750852668004,0.9937907936847811,0.9947040245493031,0.2624478340148926,0.8717985153198242,2.082751512527466
drones_instance-24_network_2_deadline_14_corrsize_2,drones,24,3,1,2,14,2,13.542080127568097,0.5481065277303027,0.5891,40,0.9937,0.9999,0.9999,1.0,0.999430062067386,0.9994350067565215,0.28258681297302246,0.24842429161071777,0.34877848625183105
drones_instance-24_network_2_deadline_14_corrsize_3,drones,24,3,1,2,14,3,0.7588166737751194,0.2521564569854279,0.778,40,0.9957,0.9998,0.9998,1.0,0.999430062067386,0.9994488370267794,0.27877044677734375,0.24849748611450195,2.672675371170044
drones_instance-24_network_2_deadline_14_corrsize_4,drones,24,3,1,2,14,3,25.4800248841794,0.24767651374225322,0.5108,40,0.9418,0.9436,0.9436,0.9252247370093168,0.9401253297692246,0.9422352342505436,0.2725043296813965,0.31636500358581543,0.9628005027770996
drones_instance-24_network_3_deadline_10_corrsize_2,drones,24,3,1,3,10,2,25.557310338034185,0.3588869772005604,0.7762,40,0.0788,0.079,0.1025,0.1439037779515879,0.18205638365482277,0.10365189967777214,0.2634456157684326,0.28777217864990234,0.662891149520874
drones_instance-24_network_3_deadline_10_corrsize_3,drones,24,3,1,3,10,3,20.829782841325436,0.22370102284818325,0.5268,40,0.2777,0.2625,0.2784,0.2176822120113546,0.27799408512435503,0.2761333366911954,0.2671329975128174,0.5280029773712158,1.3750267028808594
drones_instance-24_network_3_deadline_10_corrsize_4,drones,24,3,1,3,10,3,2.905633809604463,0.05676933257882281,0.7494,40,nan,0.0,0.0001,nan,0.0013080837858390514,3.5799035949915944e-05,nan,0.39160966873168945,6.2634196281433105
drones_instance-24_network_3_deadline_11_corrsize_2,drones,24,3,1,3,11,2,8.956110221799129,0.24670393454125458,0.7229,40,nan,0.0057,0.0062,nan,0.0010565838056474492,0.00671700773470353,nan,0.37567877769470215,2.447852373123169
drones_instance-24_network_3_deadline_11_corrsize_3,drones,24,3,1,3,11,3,47.313837620494276,0.25257704263286807,0.6788,40,0.1375,0.1394,0.1379,0.10648911210710978,0.14050730266369163,0.14010053639444953,0.27387475967407227,0.3280341625213623,1.260333776473999
drones_instance-24_network_3_deadline_11_corrsize_4,drones,24,3,1,3,11,3,16.670237928156993,0.22734582562943065,0.7061,40,0.9956,0.9994,0.9988,1.0,0.9987162244467124,0.9979346111418685,0.29084229469299316,0.27012133598327637,0.4694833755493164
drones_instance-24_network_3_deadline_12_corrsize_2,drones,24,3,1,3,12,2,6.837859033327851,0.01801221659119435,0.9824,40,0.9953,0.9991,0.9993,1.0,0.9987842542813734,0.9983988269389789,0.2627429962158203,0.2666890621185303,0.3686389923095703
